,episode_name,tv_show_name,imdb_ratings,runtime_in_mins,director,season
3131,Seek and Destroy,Criminal Minds,6.7,40,Diana Valentine,Season 12 | Episode 10
3132,Surface Tension,Criminal Minds,6.9,43,Oz Scott,Season 12 | Episode 11
3133,A Good Husband,Criminal Minds,6.7,41,Laura Belsey,Season 12 | Episode 12
3134,Spencer,Criminal Minds,7.4,42,Glenn Kershaw,Season 12 | Episode 13
3135,Collision Course,Criminal Minds,7.1,42,Alec Smight,Season 12 | Episode 14
3136,Alpha Male,Criminal Minds,7.1,42,Rob Bailey,Season 12 | Episode 15
3137,Assistance Is Futile,Criminal Minds,7.0,42,Leon Ichaso,Season 12 | Episode 16
3138,In the Dark,Criminal Minds,7.1,41,Diana Valentine,Season 12 | Episode 17
3139,Hell's Kitchen,Criminal Minds,7.1,43,Simon Mirren,Season 12 | Episode 18
3140,True North,Criminal Minds,7.1,41,Joe Mantegna,Season 12 | Episode 19
3141,Unforgettable,Criminal Minds,7.3,41,Carlos Bernard,Season 12 | Episode 20
3142,Green Light,Criminal Minds,7.6,40,Alec Smight,Season 12 | Episode 21
3143,Red Light,Criminal Minds,7.8,43,Glenn Kershaw,Season 12 | Episode 22
3144,Wheels Up,Criminal Minds,7.8,43,Glenn Kershaw,Season 13 | Episode 1
3145,To a Better Place,Criminal Minds,7.8,43,Diana Valentine,Season 13 | Episode 2
3146,Blue Angel,Criminal Minds,7.3,43,Sharat Raju,Season 13 | Episode 3
3147,Killer App,Criminal Minds,7.5,40,Alec Smight,Season 13 | Episode 4
3148,Lucky Strikes,Criminal Minds,7.3,42,Tawnia McKiernan,Season 13 | Episode 5
3149,The Bunker,Criminal Minds,7.8,42,Aisha Tyler,Season 13 | Episode 6
3150,Dust and Bones,Criminal Minds,7.6,42,Marcus Stokes,Season 13 | Episode 7
3151,Neon Terror,Criminal Minds,6.6,40,Bethany Rooney,Season 13 | Episode 8
3152,False Flag,Criminal Minds,6.6,43,Joe Mantegna,Season 13 | Episode 9
3153,Submerged,Criminal Minds,6.5,42,Rob Bailey,Season 13 | Episode 10
3154,Full-Tilt Boogie,Criminal Minds,7.5,42,Simon Mirren,Season 13 | Episode 11
3155,Bad Moon on the Rise,Criminal Minds,7.5,41,Christoph Schrewe,Season 13 | Episode 12
3156,Cure,Criminal Minds,7.6,43,Glenn Kershaw,Season 13 | Episode 13
3157,Miasma,Criminal Minds,7.5,42,Leon Ichaso,Season 13 | Episode 14
3158,Annihilator,Criminal Minds,7.6,42,Rob Bailey,Season 13 | Episode 15
3159,Last Gasp,Criminal Minds,7.7,43,Adam Rodriguez,Season 13 | Episode 16
3160,The Capilanos,Criminal Minds,7.7,43,Matthew Gray Gubler,Season 13 | Episode 17
3161,The Dance of Love,Criminal Minds,7.3,42,Joe Mantegna,Season 13 | Episode 18
3162,Ex Parte,Criminal Minds,7.2,42,Lily Mariye,Season 13 | Episode 19
3163,All You Can Eat,Criminal Minds,6.9,42,Diana Valentine,Season 13 | Episode 20
3164,Mixed Signals,Criminal Minds,6.6,40,Alec Smight,Season 13 | Episode 21
3165,Believer,Criminal Minds,9.0,43,Glenn Kershaw,Season 13 | Episode 22
3166,300,Criminal Minds,9.0,41,Glenn Kershaw,Season 14 | Episode 1
3167,Starter Home,Criminal Minds,7.5,43,Diana Valentine,Season 14 | Episode 2
3168,Rule 34,Criminal Minds,7.4,41,Alec Smight,Season 14 | Episode 3
3169,Innocence,Criminal Minds,7.3,40,Lily Mariye,Season 14 | Episode 4
3170,The Tall Man,Criminal Minds,8.2,43,Matthew Gray Gubler,Season 14 | Episode 5
3171,Luke,Criminal Minds,7.3,41,Joe Mantegna,Season 14 | Episode 6
3172,Twenty Seven,Criminal Minds,7.3,41,Sharat Raju,Season 14 | Episode 7
3173,Ashley,Criminal Minds,7.2,43,Adam Rodriguez,Season 14 | Episode 8
3174,Broken Wing,Criminal Minds,6.7,43,Aisha Tyler,Season 14 | Episode 9
3175,Flesh and Blood,Criminal Minds,6.8,43,Glenn Kershaw,Season 14 | Episode 10
3176,Night Lights,Criminal Minds,7.6,40,Nelson McCormick,Season 14 | Episode 11
3177,Hamelin,Criminal Minds,7.7,43,Simon Mirren,Season 14 | Episode 12
3178,Chameleon,Criminal Minds,8.9,42,A.J. Cook,Season 14 | Episode 13
3179,Sick and Evil,Criminal Minds,NA,42,Rob Bailey,Season 14 | Episode 14
3180,Truth or Dare,Criminal Minds,NA,42,Glenn Kershaw,Season 14 | Episode 15
3181,Episode #15.1,Criminal Minds,NA,42,Kelly Frye,Season 15 | Episode 1
3182,Episode #15.2,Criminal Minds,NA,42,Alec Smight,Season 15 | Episode 2
3183,Pilot,Arrow,8.6,45,David Nutter,Season 1 | Episode 1
3184,Honor Thy Father,Arrow,8.3,45,David Barrett,Season 1 | Episode 2
3185,Lone Gunmen,Arrow,8.5,45,Guy Norman Bee,Season 1 | Episode 3
3186,An Innocent Man,Arrow,8.5,45,Vincent Misiano,Season 1 | Episode 4
3187,Damaged,Arrow,8.7,45,Michael Schultz,Season 1 | Episode 5
3188,Legacies,Arrow,8.1,45,John Behring,Season 1 | Episode 6
3189,Muse of Fire,Arrow,8.4,45,David Grossman,Season 1 | Episode 7
3190,Vendetta,Arrow,8.3,42,Kenneth Fink,Season 1 | Episode 8
3191,Year's End,Arrow,8.5,45,John Dahl,Season 1 | Episode 9
3192,Burned,Arrow,8.0,45,Eagle Egilsson,Season 1 | Episode 10
3193,Trust But Verify,Arrow,8.3,45,Nick Copus,Season 1 | Episode 11
3194,Vertigo,Arrow,8.5,45,Wendey Stanzler,Season 1 | Episode 12
3195,Betrayal,Arrow,8.7,45,Guy Norman Bee,Season 1 | Episode 13
3196,The Odyssey,Arrow,8.9,45,John Behring,Season 1 | Episode 14
3197,Dodger,Arrow,8.2,45,Eagle Egilsson,Season 1 | Episode 15
3198,Dead to Rights,Arrow,8.8,42,Glen Winter,Season 1 | Episode 16
3199,The Huntress Returns,Arrow,8.3,43,Guy Norman Bee,Season 1 | Episode 17
3200,Salvation,Arrow,8.5,43,Nick Copus,Season 1 | Episode 18
3201,Unfinished Business,Arrow,8.4,43,Michael Offer,Season 1 | Episode 19
3202,Home Invasion,Arrow,8.6,43,Kenneth Fink,Season 1 | Episode 20
3203,The Undertaking,Arrow,8.9,42,Michael Schultz,Season 1 | Episode 21
3204,Darkness on the Edge of Town,Arrow,9.1,42,John Behring,Season 1 | Episode 22
3205,Sacrifice,Arrow,9.5,42,David Barrett,Season 1 | Episode 23
3206,City of Heroes,Arrow,8.8,42,John Behring,Season 2 | Episode 1
3207,Identity,Arrow,8.6,42,Nick Copus,Season 2 | Episode 2
3208,Broken Dolls,Arrow,8.8,42,Glen Winter,Season 2 | Episode 3
3209,Crucible,Arrow,8.8,42,Eagle Egilsson,Season 2 | Episode 4
3210,League of Assassins,Arrow,8.9,45,Wendey Stanzler,Season 2 | Episode 5
3211,Keep Your Enemies Closer,Arrow,8.6,45,Guy Norman Bee,Season 2 | Episode 6
3212,State v. Queen,Arrow,8.7,45,Bethany Rooney,Season 2 | Episode 7
3213,The Scientist,Arrow,9.1,45,Michael Schultz,Season 2 | Episode 8
3214,Three Ghosts,Arrow,9.3,45,John Behring,Season 2 | Episode 9
3215,Blast Radius,Arrow,8.5,45,Rob Hardy,Season 2 | Episode 10
3216,Blind Spot,Arrow,8.7,42,Glen Winter,Season 2 | Episode 11
3217,Tremors,Arrow,8.8,45,Guy Norman Bee,Season 2 | Episode 12
3218,Heir to the Demon,Arrow,8.8,45,Wendey Stanzler,Season 2 | Episode 13
3219,Time of Death,Arrow,8.9,42,Nick Copus,Season 2 | Episode 14
3220,The Promise,Arrow,9.2,45,Glen Winter,Season 2 | Episode 15
3221,Suicide Squad,Arrow,8.7,45,Larry Teng,Season 2 | Episode 16
3222,Birds of Prey,Arrow,8.4,45,John Behring,Season 2 | Episode 17
3223,Deathstroke,Arrow,9.3,42,Guy Norman Bee,Season 2 | Episode 18
3224,The Man Under the Hood,Arrow,9.1,42,Jesse Warn,Season 2 | Episode 19
3225,Seeing Red,Arrow,9.4,42,Douglas Aarniokoski,Season 2 | Episode 20
3226,City of Blood,Arrow,9.1,42,Michael Schultz,Season 2 | Episode 21
3227,Streets of Fire,Arrow,9.3,42,Nick Copus,Season 2 | Episode 22
3228,Unthinkable,Arrow,9.5,45,John Behring,Season 2 | Episode 23
3229,The Calm,Arrow,9.0,42,Glen Winter,Season 3 | Episode 1
3230,Sara,Arrow,8.6,42,Wendey Stanzler,Season 3 | Episode 2
3231,Corto Maltese,Arrow,8.4,42,Stephen Surjik,Season 3 | Episode 3
3232,The Magician,Arrow,8.6,42,John Behring,Season 3 | Episode 4
3233,The Secret Origin of Felicity Smoak,Arrow,8.6,42,Michael Schultz,Season 3 | Episode 5
3234,Guilty,Arrow,8.3,42,Peter Leto,Season 3 | Episode 6
3235,Draw Back Your Bow,Arrow,8.2,42,Rob Hardy,Season 3 | Episode 7
3236,The Brave and the Bold,Arrow,9.3,42,Jesse Warn,Season 3 | Episode 8
3237,The Climb,Arrow,9.6,42,Thor Freudenthal,Season 3 | Episode 9
3238,Left Behind,Arrow,8.6,42,Glen Winter,Season 3 | Episode 10
3239,Midnight City,Arrow,8.2,42,Nick Copus,Season 3 | Episode 11
3240,Uprising,Arrow,8.6,42,Jesse Warn,Season 3 | Episode 12
3241,Canaries,Arrow,8.5,42,Michael Schultz,Season 3 | Episode 13
3242,The Return,Arrow,8.5,43,Dermott Downs,Season 3 | Episode 14
3243,Nanda Parbat,Arrow,8.9,42,Gregory Smith,Season 3 | Episode 15
3244,The Offer,Arrow,8.5,42,Dermott Downs,Season 3 | Episode 16
3245,Suicidal Tendencies,Arrow,8.6,42,Jesse Warn,Season 3 | Episode 17
3246,Public Enemy,Arrow,9.0,42,Dwight H. Little,Season 3 | Episode 18
3247,Broken Arrow,Arrow,9.1,42,Douglas Aarniokoski,Season 3 | Episode 19
3248,The Fallen,Arrow,8.8,42,Antonio Negret,Season 3 | Episode 20
3249,Al Sah-Him,Arrow,8.6,41,Thor Freudenthal,Season 3 | Episode 21
3250,This Is Your Sword,Arrow,8.9,42,Wendey Stanzler,Season 3 | Episode 22
3251,My Name Is Oliver Queen,Arrow,8.3,44,John Behring,Season 3 | Episode 23
3252,Green Arrow,Arrow,8.5,42,Thor Freudenthal,Season 4 | Episode 1
3253,The Candidate,Arrow,8.2,43,John Behring,Season 4 | Episode 2
3254,Restoration,Arrow,8.2,43,Wendey Stanzler,Season 4 | Episode 3
3255,Beyond Redemption,Arrow,8.4,42,Lexi Alexander,Season 4 | Episode 4
3256,Haunted,Arrow,9.0,42,John Badham,Season 4 | Episode 5
3257,Lost Souls,Arrow,8.2,42,Antonio Negret,Season 4 | Episode 6
3258,Brotherhood,Arrow,8.2,42,James Bamford,Season 4 | Episode 7
3259,Legends of Yesterday,Arrow,9.1,44,Thor Freudenthal,Season 4 | Episode 8
3260,Dark Waters,Arrow,8.9,42,John Behring,Season 4 | Episode 9
3261,Blood Debts,Arrow,8.1,42,Jesse Warn,Season 4 | Episode 10
3262,A.W.O.L.,Arrow,8.0,42,Charlotte Brändström,Season 4 | Episode 11
3263,Unchained,Arrow,8.3,42,Kevin Fair,Season 4 | Episode 12
3264,Sins of the Father,Arrow,8.4,42,Gordon Verheul,Season 4 | Episode 13
3265,Code of Silence,Arrow,7.9,42,James Bamford,Season 4 | Episode 14
3266,Taken,Arrow,8.3,42,Gregory Smith,Season 4 | Episode 15
3267,Broken Hearts,Arrow,6.3,42,John F. Showalter,Season 4 | Episode 16
3268,Beacon of Hope,Arrow,6.8,42,Michael Schultz,Season 4 | Episode 17
3269,Eleven-Fifty-Nine,Arrow,7.3,42,Rob Hardy,Season 4 | Episode 18
3270,Canary Cry,Arrow,6.8,41,Laura Belsey,Season 4 | Episode 19
3271,Genesis,Arrow,7.5,41,Gregory Smith,Season 4 | Episode 20
3272,Monument Point,Arrow,7.2,42,Kevin Tancharoen,Season 4 | Episode 21
3273,Lost in the Flood,Arrow,7.2,42,Glen Winter,Season 4 | Episode 22
3274,Schism,Arrow,5.7,42,John Behring,Season 4 | Episode 23
3275,Legacy,Arrow,8.5,42,James Bamford,Season 5 | Episode 1
3276,The Recruits,Arrow,8.4,42,James Bamford,Season 5 | Episode 2
3277,A Matter of Trust,Arrow,8.4,42,Gregory Smith,Season 5 | Episode 3
3278,Penance,Arrow,8.4,42,Dermott Downs,Season 5 | Episode 4
3279,Human Target,Arrow,8.8,42,Laura Belsey,Season 5 | Episode 5
3280,So It Begins,Arrow,8.5,41,John Behring,Season 5 | Episode 6
3281,Vigilante,Arrow,8.5,42,Gordon Verheul,Season 5 | Episode 7
3282,Invasion!,Arrow,9.2,42,James Bamford,Season 5 | Episode 8
3283,What We Leave Behind,Arrow,9.3,42,Antonio Negret,Season 5 | Episode 9
3284,Who Are You?,Arrow,8.0,42,Gregory Smith,Season 5 | Episode 10
3285,Second Chances,Arrow,8.4,42,Mark Bunting,Season 5 | Episode 11
3286,Bratva,Arrow,8.3,42,Ben Hernandez Bray,Season 5 | Episode 12
3287,Spectre of the Gun,Arrow,7.6,41,Kristin Windell,Season 5 | Episode 13
3288,The Sin-Eater,Arrow,8.0,42,Mary Lambert,Season 5 | Episode 14
3289,Fighting Fire with Fire,Arrow,8.7,42,Michael Schultz,Season 5 | Episode 15
3290,Checkmate,Arrow,9.1,42,Ken Shane,Season 5 | Episode 16
3291,Kapiushon,Arrow,9.3,42,Kevin Tancharoen,Season 5 | Episode 17
3292,Disbanded,Arrow,8.6,42,J.J. Makaro,Season 5 | Episode 18
3293,Dangerous Liaisons,Arrow,8.1,42,Joel Novoa,Season 5 | Episode 19
3294,Underneath,Arrow,7.8,42,Wendey Stanzler,Season 5 | Episode 20
3295,Honor Thy Fathers,Arrow,8.4,42,Laura Belsey,Season 5 | Episode 21
3296,Missing,Arrow,9.2,42,Mairzee Almas,Season 5 | Episode 22
3297,Lian Yu,Arrow,9.7,42,Jesse Warn,Season 5 | Episode 23
3298,Fallout,Arrow,8.1,42,James Bamford,Season 6 | Episode 1
3299,Tribute,Arrow,8.2,41,Laura Belsey,Season 6 | Episode 2
3300,Next of Kin,Arrow,8.1,41,Kevin Tancharoen,Season 6 | Episode 3
3301,Reversal,Arrow,7.7,42,Gregory Smith,Season 6 | Episode 4
3302,Deathstroke Returns,Arrow,8.9,42,Joel Novoa,Season 6 | Episode 5
3303,Promises Kept,Arrow,8.6,42,Antonio Negret,Season 6 | Episode 6
3304,Thanksgiving,Arrow,8.1,42,Gordon Verheul,Season 6 | Episode 7
3305,"Crisis on Earth-X, Part 2",Arrow,8.8,42,James Bamford,Season 6 | Episode 8
3306,Irreconcilable Differences,Arrow,7.5,42,Laura Belsey,Season 6 | Episode 9
3307,Divided,Arrow,7.7,42,James Bamford,Season 6 | Episode 10
3308,We Fall,Arrow,8.0,41,Wendey Stanzler,Season 6 | Episode 11
3309,All for Nothing,Arrow,8.2,42,Mairzee Almas,Season 6 | Episode 12
3310,The Devil's Greatest Trick,Arrow,8.5,42,J.J. Makaro,Season 6 | Episode 13
3311,Collision Course,Arrow,7.6,40,Ken Shane,Season 6 | Episode 14
3312,Doppelgänger,Arrow,8.4,41,Kristin Windell,Season 6 | Episode 15
3313,The Thanatos Guild,Arrow,8.2,42,Joel Novoa,Season 6 | Episode 16
3314,Brothers in Arms,Arrow,8.1,42,Mark Bunting,Season 6 | Episode 17
3315,Fundamentals,Arrow,8.9,42,Ben Hernandez Bray,Season 6 | Episode 18
3316,The Dragon,Arrow,8.2,42,Gordon Verheul,Season 6 | Episode 19
3317,Shifting Allegiances,Arrow,8.3,42,Alexandra La Roche,Season 6 | Episode 20
3318,Docket No. 11-19-41-73,Arrow,9.0,42,Andi Armaganian,Season 6 | Episode 21
3319,The Ties That Bind,Arrow,8.7,41,Tara Miele,Season 6 | Episode 22
3320,Life Sentence,Arrow,8.9,42,James Bamford,Season 6 | Episode 23
3321,Inmate 4587,Arrow,9.3,42,James Bamford,Season 7 | Episode 1
3322,The Longbow Hunters,Arrow,8.3,42,Laura Belsey,Season 7 | Episode 2
3323,Crossing Lines,Arrow,8.6,41,Gordon Verheul,Season 7 | Episode 3
3324,Level Two,Arrow,8.5,42,Ben Hernandez Bray,Season 7 | Episode 4
3325,The Demon,Arrow,8.9,42,Mark Bunting,Season 7 | Episode 5
3326,Due Process,Arrow,8.7,42,Kristin Windell,Season 7 | Episode 6
3327,The Slabside Redemption,Arrow,9.6,41,James Bamford,Season 7 | Episode 7
3328,Unmasked,Arrow,8.8,42,Alexandra La Roche,Season 7 | Episode 8
3329,"Elseworlds, Part 2",Arrow,9.2,42,James Bamford,Season 7 | Episode 9
3330,My Name Is Emiko Queen,Arrow,8.0,42,Andi Armaganian,Season 7 | Episode 10
3331,Past Sins,Arrow,8.5,42,David Ramsey,Season 7 | Episode 11
3332,Emerald Archer,Arrow,NA,42,Stephen Amell,Season 7 | Episode 12
3333,Star City Slayer,Arrow,NA,42,Stephen Amell,Season 7 | Episode 13
3334,Episode #7.14,Arrow,NA,42,Stephen Amell,Season 7 | Episode 14
3335,Episode #7.15,Arrow,NA,42,Stephen Amell,Season 7 | Episode 15
3336,Episode #7.16,Arrow,NA,42,Stephen Amell,Season 7 | Episode 16
3337,Episode #7.17,Arrow,NA,42,Stephen Amell,Season 7 | Episode 17
3338,Episode #7.18,Arrow,NA,42,Stephen Amell,Season 7 | Episode 18
3339,Episode #7.19,Arrow,NA,42,Stephen Amell,Season 7 | Episode 19
3340,Episode #7.20,Arrow,NA,42,Stephen Amell,Season 7 | Episode 20
3341,Episode #7.21,Arrow,NA,42,Stephen Amell,Season 7 | Episode 21
3342,Episode #7.22,Arrow,NA,42,Stephen Amell,Season 7 | Episode 22
3343,Pilot,The Blacklist,8.4,45,Joe Carnahan,Season 1 | Episode 1
3344,The Freelancer (No. 145),The Blacklist,8.1,41,Jace Alexander,Season 1 | Episode 2
3345,Wujing (No. 84),The Blacklist,7.9,42,Michael W. Watkins,Season 1 | Episode 3
3346,The Stewmaker (No. 161),The Blacklist,8.4,41,Vincent Misiano,Season 1 | Episode 4
3347,The Courier (No. 85),The Blacklist,8.0,43,Nick Gomez,Season 1 | Episode 5
3348,Gina Zanetakos (No. 152),The Blacklist,8.1,42,Adam Arkin,Season 1 | Episode 6
3349,Frederick Barnes (No. 47),The Blacklist,7.9,43,Michael W. Watkins,Season 1 | Episode 7
3350,General Ludd (No. 109),The Blacklist,8.0,42,Stephen Surjik,Season 1 | Episode 8
3351,Anslo Garrick (No. 16),The Blacklist,9.1,42,Joe Carnahan,Season 1 | Episode 9
3352,Anslo Garrick (No. 16): Conclusion,The Blacklist,9.0,42,Michael W. Watkins,Season 1 | Episode 10
3353,The Good Samaritan (No. 106),The Blacklist,8.6,43,Dan Lerner,Season 1 | Episode 11
3354,The Alchemist (No. 101),The Blacklist,8.2,43,Vincent Misiano,Season 1 | Episode 12
3355,The Cyprus Agency (No. 64),The Blacklist,8.3,43,Michael W. Watkins,Season 1 | Episode 13
3356,Madeline Pratt (No. 73),The Blacklist,8.1,42,Michael Zinberg,Season 1 | Episode 14
3357,The Judge (No. 57),The Blacklist,8.1,42,Peter Werner,Season 1 | Episode 15
3358,Mako Tanida (No. 83),The Blacklist,8.3,42,Michael W. Watkins,Season 1 | Episode 16
3359,Ivan (No. 88),The Blacklist,8.2,43,Randy Zisk,Season 1 | Episode 17
3360,Milton Bobbit (No. 135),The Blacklist,8.5,42,Steven A. Adelson,Season 1 | Episode 18
3361,The Pavlovich Brothers (Nos. 119-122),The Blacklist,8.7,43,Paul A. Edwards,Season 1 | Episode 19
3362,The Kingmaker (No. 42),The Blacklist,8.2,42,Karen Gaviola,Season 1 | Episode 20
3363,Berlin (No. 8),The Blacklist,8.8,42,Michael Zinberg,Season 1 | Episode 21
3364,Berlin (No. 8): Conclusion,The Blacklist,9.0,43,Michael W. Watkins,Season 1 | Episode 22
3365,Lord Baltimore (No. 104),The Blacklist,8.5,42,Michael W. Watkins,Season 2 | Episode 1
3366,Monarch Douglas Bank (No. 112),The Blacklist,8.1,43,Paul A. Edwards,Season 2 | Episode 2
3367,Dr. James Covington (No. 89),The Blacklist,8.2,43,Karen Gaviola,Season 2 | Episode 3
3368,Dr. Linus Creel (No. 82),The Blacklist,8.2,43,Michael W. Watkins,Season 2 | Episode 4
3369,The Front (No. 74),The Blacklist,8.0,44,Steven A. Adelson,Season 2 | Episode 5
3370,The Mombasa Cartel (No. 114),The Blacklist,8.2,43,David Platt,Season 2 | Episode 6
3371,The Scimitar (No. 22),The Blacklist,8.3,43,Karen Gaviola,Season 2 | Episode 7
3372,The Decembrist (No. 12),The Blacklist,8.8,43,Michael W. Watkins,Season 2 | Episode 8
3373,Luther Braxton (No. 21),The Blacklist,9.0,43,Joe Carnahan,Season 2 | Episode 9
3374,Luther Braxton (No. 21): Conclusion,The Blacklist,8.9,42,Michael W. Watkins,Season 2 | Episode 10
3375,Ruslan Denisov (No. 67),The Blacklist,7.7,43,Andrew McCarthy,Season 2 | Episode 11
3376,The Kenyon Family (No. 71),The Blacklist,7.6,43,David Platt,Season 2 | Episode 12
3377,The Deer Hunter (No. 93),The Blacklist,8.0,42,Andrew McCarthy,Season 2 | Episode 13
3378,T. Earl King VI (No. 94),The Blacklist,8.3,43,Steven A. Adelson,Season 2 | Episode 14
3379,The Major (No. 75),The Blacklist,7.0,42,Michael W. Watkins,Season 2 | Episode 15
3380,Tom Keen (No. 7),The Blacklist,8.6,42,Andrew McCarthy,Season 2 | Episode 16
3381,The Longevity Initiative (No. 97),The Blacklist,8.1,43,Donald E. Thorin Jr.,Season 2 | Episode 17
3382,Vanessa Cruz (No. 117),The Blacklist,8.3,43,Guy Ferland,Season 2 | Episode 18
3383,Leonard Caul (No. 62),The Blacklist,9.0,43,Michael Waxman,Season 2 | Episode 19
3384,Quon Zhang (No. 87),The Blacklist,8.3,43,Karen Gaviola,Season 2 | Episode 20
3385,Karakurt (No. 55),The Blacklist,9.0,43,Steven A. Adelson,Season 2 | Episode 21
3386,Tom Connolly (No. 11),The Blacklist,9.3,43,Michael W. Watkins,Season 2 | Episode 22
3387,The Troll Farmer (No. 38),The Blacklist,9.0,43,Michael W. Watkins,Season 3 | Episode 1
3388,Marvin Gerard (No. 80),The Blacklist,8.9,43,Andrew McCarthy,Season 3 | Episode 2
3389,Eli Matchett (No.72),The Blacklist,8.5,44,Steven A. Adelson,Season 3 | Episode 3
3390,The Djinn (No. 43),The Blacklist,8.2,44,Omar Madha,Season 3 | Episode 4
3391,Arioch Cain (No. 50),The Blacklist,8.4,43,Alex Zakrzewski,Season 3 | Episode 5
3392,Sir Crispin Crandall (No. 86),The Blacklist,8.8,43,Ami Canaan Mann,Season 3 | Episode 6
3393,Zal Bin Hasaan (No. 31),The Blacklist,8.5,42,Michael W. Watkins,Season 3 | Episode 7
3394,Kings of the Highway (No. 108),The Blacklist,8.1,43,Terrence O'Hara,Season 3 | Episode 8
3395,The Director (No. 24),The Blacklist,9.2,43,Mary Lambert,Season 3 | Episode 9
3396,The Director (No. 24): Conclusion,The Blacklist,9.3,43,John Terlesky,Season 3 | Episode 10
3397,Mr. Gregory Devry (No. 95),The Blacklist,8.7,43,Alex Zakrzewski,Season 3 | Episode 11
3398,The Vehm (No. 132),The Blacklist,7.6,43,Michael W. Watkins,Season 3 | Episode 12
3399,Alistair Pitt (No. 103),The Blacklist,7.8,43,Bill Roe,Season 3 | Episode 13
3400,Lady Ambrosia (No. 77),The Blacklist,8.0,43,Tim Hunter,Season 3 | Episode 14
3401,Drexel (No. 113),The Blacklist,7.9,43,Anton Cropper,Season 3 | Episode 15
3402,The Caretaker (No. 78),The Blacklist,7.7,43,Donald E. Thorin Jr.,Season 3 | Episode 16
3403,Mr. Solomon (No. 32),The Blacklist,8.2,43,Eagle Egilsson,Season 3 | Episode 17
3404,Mr. Solomon (No. 32): Conclusion,The Blacklist,9.0,43,John Terlesky,Season 3 | Episode 18
3405,Cape May,The Blacklist,8.0,43,Michael W. Watkins,Season 3 | Episode 19
3406,The Artax Network (No. 41),The Blacklist,8.0,43,Donald E. Thorin Jr.,Season 3 | Episode 20
3407,Susan Hargrave (No. 18),The Blacklist,8.3,42,Andrew McCarthy,Season 3 | Episode 21
3408,Alexander Kirk (No. 14),The Blacklist,8.8,43,Michael Dinner,Season 3 | Episode 22
3409,Alexander Kirk (No. 14): Conclusion,The Blacklist,9.1,43,Bill Roe,Season 3 | Episode 23
3410,Esteban (No. 79),The Blacklist,8.4,42,Michael W. Watkins,Season 4 | Episode 1
3411,Mato (No. 66),The Blacklist,8.1,43,Andrew McCarthy,Season 4 | Episode 2
3412,Miles McGrath (No. 65),The Blacklist,7.9,43,John Terlesky,Season 4 | Episode 3
3413,Gaia (No. 81),The Blacklist,7.3,43,Bill Roe,Season 4 | Episode 4
3414,The Lindquist Concern (No. 105),The Blacklist,8.0,43,Kurt Kuenne,Season 4 | Episode 5
3415,The Thrushes (No. 53),The Blacklist,8.4,43,Terrence O'Hara,Season 4 | Episode 6
3416,Dr. Adrian Shaw (No. 98),The Blacklist,8.5,43,Andrew McCarthy,Season 4 | Episode 7
3417,Dr. Adrian Shaw (No. 98): Conclusion,The Blacklist,8.6,43,Michael W. Watkins,Season 4 | Episode 8
3418,Lipet's Seafood Company (No. 111),The Blacklist,7.5,43,Donald E. Thorin Jr.,Season 4 | Episode 9
3419,The Forecaster (No. 163),The Blacklist,7.6,43,Edward Ornelas,Season 4 | Episode 10
3420,The Harem (No. 102),The Blacklist,7.8,43,Bill Roe,Season 4 | Episode 11
3421,Natalie Luca (No. 184),The Blacklist,7.7,43,Michael W. Watkins,Season 4 | Episode 12
3422,Isabella Stone (No. 34),The Blacklist,7.9,43,Andrew McCarthy,Season 4 | Episode 13
3423,The Architect (No. 107),The Blacklist,7.8,43,Christine Gee,Season 4 | Episode 14
3424,The Apothecary (No. 59),The Blacklist,8.7,43,Michael Caracciolo,Season 4 | Episode 15
3425,Dembe Zuma (No. 10),The Blacklist,8.7,42,Jean de Segonzac,Season 4 | Episode 16
3426,Requiem,The Blacklist,9.0,43,Terrence O'Hara,Season 4 | Episode 17
3427,Philomena (No. 61),The Blacklist,7.8,43,Michael W. Watkins,Season 4 | Episode 18
3428,Dr. Bogdan Krilov (No. 29),The Blacklist,7.9,43,Donald E. Thorin Jr.,Season 4 | Episode 19
3429,The Debt Collector (No. 46),The Blacklist,8.1,43,Bill Roe,Season 4 | Episode 20
3430,Mr. Kaplan (No. 4),The Blacklist,8.4,43,Donald E. Thorin Jr.,Season 4 | Episode 21
3431,Mr. Kaplan (No. 4): Conclusion,The Blacklist,9.1,43,Michael W. Watkins,Season 4 | Episode 22
3432,Smokey Putnum (No. 30),The Blacklist,8.3,43,Bill Roe,Season 5 | Episode 1
3433,Greyson Blaise (No. 37),The Blacklist,8.4,43,Donald E. Thorin Jr.,Season 5 | Episode 2
3434,Miss Rebecca Thrall (No. 76),The Blacklist,8.0,43,Adam T. Weisinger,Season 5 | Episode 3
3435,The Endling (No. 44),The Blacklist,8.1,43,Michael W. Watkins,Season 5 | Episode 4
3436,Ilyas Surkov (No. 54),The Blacklist,7.9,43,Kurt Kuenne,Season 5 | Episode 5
3437,The Travel Agency (No. 90),The Blacklist,7.8,43,Terrence O'Hara,Season 5 | Episode 6
3438,The Kilgannon Corporation (No. 48),The Blacklist,8.3,43,Jean de Segonzac,Season 5 | Episode 7
3439,Ian Garvey (No. 13),The Blacklist,9.4,43,Bill Roe,Season 5 | Episode 8
3440,Ruin,The Blacklist,8.8,43,Michael Caracciolo,Season 5 | Episode 9
3441,The Informant (No. 118),The Blacklist,8.3,43,Paul Holahan,Season 5 | Episode 10
